"D" "g0" "sigma" "z" "sigmatoa" "logLik" "AIC" "maxgrad"
1845.44361488 0.977579578544 10.7795612999 5.88688124969 0.001930222987 702.18 -1394.36 -1.5685e-05
1588.61190313 0.947848375617 11.2367965049 5.38106473028 0.00193510149016 518.857 -1027.714 -4.92224e-05
1417.86723053 0.936328142922 11.9097455051 6.03027442551 0.00190707831194 639.096 -1268.192 -7.90284e-06
1649.37923413 0.897865578607 12.6270902214 7.48482866678 0.00187657688833 725.803 -1441.606 -7.65517e-06
1493.19808038 0.935391734707 12.1601184825 5.36108902344 0.00171243648706 607.707 -1205.414 -9.01074e-05
1656.13278795 0.999999982403 10.5573331319 5.2090802378 0.00187238590188 835.577 -1661.154 -0.000336173
1439.03592729 0.894032218335 12.5478640644 6.50640742842 0.00185330910063 543.677 -1077.354 -1.44366e-05
1414.18683805 0.931321797475 11.8584425516 5.41141399774 0.00171183203723 722.215 -1434.43 -2.50603e-05
1442.1576481 0.940710996441 11.5965055672 5.40125557517 0.00172445592805 590.65 -1171.3 -4.26117e-06
1669.34753945 0.970777124919 11.2362299641 4.97844631331 0.00192268614363 684.699 -1359.398 -0.00036463
1679.35342167 0.948805532044 11.7602623803 5.83506419719 0.00193984292518 860.78 -1711.56 -7.12883e-05
1687.52725963 0.952159881744 11.1982100114 5.66082350201 0.00190070548745 524.272 -1038.544 -2.99996e-05
1505.62280387 0.94244900491 11.7176875567 6.08339063897 0.00204719514674 606.731 -1203.462 -4.58897e-06
1558.51176858 0.96833309078 10.9074290675 4.99163720513 0.00196993129031 476.517 -943.034 -3.91651e-06
1526.2496193 0.999999963398 10.6232452838 4.63737880575 0.0020278597801 603.6 -1197.2 -1.45148e-05
1821.97198983 0.957148837337 10.6074718526 4.83401392379 0.00190509776288 604.926 -1199.852 -1.30273e-05
1423.80187135 0.99343169375 10.7846041527 4.99731704675 0.00195283246796 496.205 -982.41 -1.37503e-05
1699.42489121 0.978882759926 11.0512112461 4.97885779373 0.00192855720282 784.944 -1559.888 -5.95162e-05
